episode,reward,steps,success,response_time_s,rescued,route_efficiency,hard_violations,wasted_actions,blocked_attempts,failed_actions,mean_risk,disaster,mean_loss,epsilon,gradient_steps
287,-24.79,100,False,,0,,0,1,0,1,0.0,road_blockage,109.93,0.05,25
288,-60.85,100,False,,0,,2,0,0,0,0.0292,earthquake,117.8077,0.05,25
289,-18.07,100,False,,0,,0,1,0,1,0.0149,landslide,118.3621,0.05,25
290,-128.53,100,False,,0,,0,0,0,0,0.3956,combined,122.319,0.05,25
291,-49.94,100,False,,0,,0,0,0,0,0.1064,landslide,123.6103,0.05,25
292,-23.58,100,False,,0,,0,0,0,0,0.0,heavy_rain,116.3837,0.05,25
293,-143.48,100,False,,0,,0,1,0,1,0.4931,combined,116.5178,0.05,25
294,-66.85,100,False,,0,,0,0,0,0,0.1752,cyclone,109.9097,0.05,25
295,-21.31,100,False,,0,,0,0,0,0,0.0,landslide,110.1304,0.05,25
296,-15.8,100,False,,0,,0,0,0,0,0.0,landslide,114.2017,0.05,25
297,-59.9,100,False,,0,,0,0,0,0,0.1682,earthquake,116.3921,0.05,25
298,-650.74,100,False,,0,,35,0,0,0,0.4196,wildfire,114.5239,0.05,25
299,-110.64,100,False,,0,,0,0,0,0,0.3379,earthquake,118.3327,0.05,25
300,-18.73,100,False,,0,,0,0,0,0,0.0,heavy_rain,109.6034,0.05,25
301,-20.93,100,False,,0,,0,0,0,0,0.0,heavy_rain,112.9702,0.05,25
302,-72.4,100,False,,0,,0,0,0,0,0.2488,flood,121.5965,0.05,25
303,-18.84,100,False,,0,,0,2,0,2,0.0,road_blockage,113.1829,0.05,25
304,-76.3,100,False,,0,,0,0,0,0,0.1616,landslide,119.3314,0.05,25
305,-104.88,100,False,,0,,0,0,0,0,0.3593,earthquake,116.4542,0.05,25
306,-29.74,100,False,,0,,0,0,0,0,0.0101,flood,112.6444,0.05,25
307,-215.1,100,False,,0,,0,0,0,0,0.6305,cyclone,113.6637,0.05,25
308,-125.11,100,False,,0,,0,1,0,1,0.422,combined,109.9276,0.05,25
309,-18.89,100,False,,0,,0,0,0,0,0.0,traffic_jam,111.5848,0.05,25
